Cruiser B,,,,,,,,,,,
Sunday 11:51 AM – 9:00 PM,,,,,,,,,,,
1,Bookstore,,12:00 PM,1:00 PM,2:00 PM,3:00 PM,,5:00 PM,6:00 PM,7:00 PM,8:00 PM
2,Whitnall Field,,12:03 PM,1:03 PM,2:03 PM,3:03 PM,,5:03 PM,6:03 PM,7:03 PM,8:03 PM
3,Case-Geyer Library,,12:06 PM,1:06 PM,2:06 PM,3:06 PM,,5:06 PM,6:06 PM,7:06 PM,8:06 PM
4,Perrson Hall,,12:09 PM,1:09 PM,2:09 PM,3:09 PM,,5:09 PM,6:09 PM,7:09 PM,8:09 PM
5,Frank Dining Hall,,12:12 PM,1:12 PM,2:12 PM,3:12 PM,,5:12 PM,6:12 PM,7:12 PM,8:12 PM
6,Perrson Hall,,12:15 PM,1:15 PM,2:15 PM,3:15 PM,,5:15 PM,6:15 PM,7:15 PM,8:15 PM
7,Academic Dr.,,12:18 PM,1:18 PM,2:18 PM,3:18 PM,,5:18 PM,6:18 PM,7:18 PM,8:18 PM
8,Gate House,,12:21 PM,1:21 PM,2:21 PM,3:21 PM,,5:21 PM,6:21 PM,7:21 PM,8:21 PM
9,Kendrick & Broad,,12:24 PM,1:24 PM,2:24 PM,3:24 PM,,5:24 PM,6:24 PM,7:24 PM,8:24 PM
10,Townhouses,,12:28 PM,1:28 PM,2:28 PM,3:28 PM,,5:28 PM,6:28 PM,7:28 PM,8:28 PM
11,Cutten Hall,,12:33 PM,1:33 PM,2:33 PM,3:33 PM,4:33 PM,5:33 PM,6:33 PM,7:33 PM,8:33 PM
12,104 Broad St.,,12:36 PM,1:36 PM,2:36 PM,3:36 PM,4:36 PM,5:36 PM,6:36 PM,7:36 PM,8:36 PM
13,University Ct./Burch,,12:39 PM,1:39 PM,2:39 PM,3:39 PM,4:39 PM,5:39 PM,6:39 PM,7:39 PM,8:39 PM
14,Parker Apartments,,12:42 PM,1:42 PM,2:42 PM,3:42 PM,4:42 PM,5:42 PM,6:42 PM,7:42 PM,8:42 PM
15/16,Newell Apartments,,12:45 PM,1:45 PM,2:45 PM,3:45 PM,4:45 PM,5:45 PM,6:45 PM,7:45 PM,8:45 PM
17,SOMAC,,12:48 PM,1:48 PM,2:48 PM,3:48 PM,4:48 PM,5:48 PM,6:48 PM,7:48 PM,8:48 PM
18,Hamilton Airport,11:51 AM,12:51 PM,1:51 PM,2:51 PM,3:51 PM,4:51 PM,,,,
19,Parry’s Plaza,,,,,3:54 PM,4:54 PM,,,,
20,Price Chopper,,,,,3:55 PM,4:55 PM,5:55 PM,6:55 PM,7:55 PM,8:55 PM
