Cruiser C   ,,,,,,,,,,
Monday through Friday 7:30 AM Ð NOON,,,,,,,,,,
2-Jan,Newell Apartments,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM
3,University Ct./Burch,7:31 AM,8:01 AM,8:31 AM,9:01 AM,9:31 AM,10:01 AM,10:31 AM,11:01 AM,11:31 AM
4,Parker Apartments,7:34 AM,8:04 AM,8:34 AM,9:04 AM,9:34 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM
5,110 Broad St.,7:37 AM,8:07 AM,8:37 AM,9:07 AM,9:37 AM,10:07 AM,10:37 AM,11:07 AM,11:37 AM
6,Whitnall Field,7:40 AM,8:10 AM,8:40 AM,9:10 AM,9:40 AM,10:10 AM,10:40 AM,11:10 AM,11:40 AM
7,Case-Geyer Library,7:43 AM,8:13 AM,8:43 AM,9:13 AM,9:43 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM
8,Perrson Hall,7:46 AM,8:16 AM,8:46 AM,9:16 AM,9:46 AM,10:16 AM,10:46 AM,11:16 AM,11:46 AM
9,Frank Dining Hall,7:49 AM,8:19 AM,8:49 AM,9:19 AM,9:49 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM
10,Perrson Hall,7:52 AM,8:22 AM,8:52 AM,9:22 AM,9:52 AM,10:22 AM,10:52 AM,11:22 AM,11:52 AM
11,Kendrick & Broad,7:56 AM,8:26 AM,8:56 AM,9:26 AM,9:56 AM,10:26 AM,10:56 AM,11:26 AM,11:56 AM
