Cruiser D      ,,,,,,,,,,
Monday through Friday 7:30 AM Ð 4:30 PM,,,,,,,,,,
1,Townhouses,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM
2,Cutten Hall,7:34 AM,8:04 AM,8:34 AM,9:04 AM,9:34 AM,10:04 AM,10:34 AM,11:04 AM,11:34 AM
3,Whitnall Field,7:37 AM,8:07 AM,8:37 AM,9:07 AM,9:37 AM,10:07 AM,10:37 AM,11:07 AM,11:37 AM
4,Case-Geyer Library,7:40 AM,8:10 AM,8:40 AM,9:10 AM,9:40 AM,10:10 AM,10:40 AM,11:10 AM,11:40 AM
5,Perrson Hall,7:43 AM,8:13 AM,8:43 AM,9:13 AM,9:43 AM,10:13 AM,10:43 AM,11:13 AM,11:43 AM
6,Frank Dining Hall,7:46 AM,8:16 AM,8:46 AM,9:16 AM,9:46 AM,10:16 AM,10:46 AM,11:16 AM,11:46 AM
7,Perrson Hall,7:49 AM,8:19 AM,8:49 AM,9:19 AM,9:49 AM,10:19 AM,10:49 AM,11:19 AM,11:49 AM
8,Kendrick & Broad,7:53 AM,8:23 AM,8:53 AM,9:23 AM,9:53 AM,10:23 AM,10:53 AM,11:23 AM,11:53 AM
1,Townhouses,12:00 PM,12:35 PM,1:10 PM,1:45 PM,2:20 PM,2:55 PM,3:30 PM,4:05 PM,
2,Cutten Hall,,,,,,,,,
3,Whitnall Field,12:05 PM,12:40 PM,1:15 PM,1:50 PM,2:25 PM,3:00 PM,3:35 PM,4:10 PM,
4,Case-Geyer Library,12:07 PM,12:42 PM,1:17 PM,1:52 PM,2:27 PM,3:02 PM,3:37 PM,4:12 PM,
5,Perrson Hall,12:09 PM,12:44 PM,1:19 PM,1:54 PM,2:29 PM,3:04 PM,3:39 PM,4:14 PM
6,Frank Dining Hall,12:12 PM,12:47 PM,1:22 PM,1:57 PM,2:32 PM,3:07 PM,3:42 PM,4:17 PM
7,Perrson Hall,12:14 PM,12:49 PM,1:24 PM,1:59 PM,2:34 PM,3:09 PM,3:44 PM,4:19 PM
8,Kendrick & Broad,12:18 PM,12:53 PM,1:28 PM,2:03 PM,2:38 PM,3:13 PM,3:48 PM,4:23 PM
10-Sep,Newell Apartments,12:23 PM,12:58 PM,1:33 PM,2:08 PM,2:43 PM,3:18 PM,3:53 PM,4:28 PM
11,University Ct./Burch,12:26 PM,1:01 PM,1:36 PM,2:11 PM,2:46 PM,3:21 PM,3:56 PM,4:31 PM
12,Parker Apartments,12:28 PM,1:03 PM,1:38 PM,2:13 PM,2:48 PM,3:23 PM,3:58 PM,4:33 PM
13,110 Broad St.,12:30 PM,1:05 PM,1:40 PM,2:15 PM,2:50 PM,3:25 PM,4:00 PM,4:35 PM
